Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
03-02-2025,23319.35,23381.6,23222,23361.05,347241171,32019.13,-0.51571087,0.007334807,23250.5025,23792.727,23783.41273,2025-02,"(-0.772, -0.419]",0%,10%,26104.2,21743.65
04-02-2025,23509.9,23762.75,23423.15,23739.25,376742506,35974.3,1.61893408,0.008250589,23253.0175,23783.622,23782.62411,2025-02,"(1.347, 1.7]",-1%,10%,26104.2,21743.65
05-02-2025,23801.75,23807.3,23680.45,23696.3,267014345,25806.44,-0.180923997,0.008101158,23261.5075,23772.05,23781.10965,2025-02,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
06-02-2025,23761.95,23773.55,23556.25,23603.35,306978683,30885.59,-0.392255331,0.008097877,23270.1,23765.834,23778.04483,2025-02,"(-0.419, -0.0656]",1%,10%,26104.2,21743.65
07-02-2025,23649.5,23694.5,23443.2,23559.95,368092482,30042,-0.183872205,0.007302723,23293.8,23754.411,23774.34831,2025-02,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
10-02-2025,23543.8,23568.6,23316.3,23381.6,225529166,21254.72,-0.757005002,0.007513736,23304.0775,23736.522,23767.8025,2025-02,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
11-02-2025,23383.55,23390.05,22986.65,23071.8,267969979,27191.96,-1.324973483,0.008106326,23297.0075,23708.815,23756.39262,2025-02,"(-1.478, -1.125]",1%,10%,26104.2,21743.65
12-02-2025,23050.8,23144.7,22798.35,23045.25,279656513,26989.94,-0.115075547,0.008037419,23283.68,23680.371,23744.92258,2025-02,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
13-02-2025,23055.75,23235.5,22992.2,23031.4,265706855,25218.86,-0.060099153,0.007979097,23275.09,23646.831,23733.59683,2025-02,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
14-02-2025,23096.45,23133.7,22774.85,22929.25,254479643,22049.89,-0.443524927,0.007878579,23254.315,23611.86,23721.02891,2025-02,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
17-02-2025,22809.9,22974.2,22725.45,22959.5,207393944,19809.44,0.13192756,0.007283337,23251.0575,23578.67,23709.31308,2025-02,"(-0.0656, 0.288]",-1%,10%,26104.2,21743.65
18-02-2025,22963.65,22992.5,22801.5,22945.3,210616675,19431.37,-0.061848037,0.007154698,23240.555,23545.375,23697.73712,2025-02,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
19-02-2025,22847.25,23049.95,22814.85,22932.9,206999204,19817.93,-0.054041568,0.007128669,23226.9325,23511.197,23686.32164,2025-02,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
20-02-2025,22821.1,22923.85,22812.75,22913.15,240836647,21303.88,-0.086120813,0.007057088,23217.98,23478.486,23674.95147,2025-02,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
21-02-2025,22857.2,22921,22720.3,22795.9,242753984,21994.37,-0.511714889,0.006670001,23216.3175,23439.038,23662.21159,2025-02,"(-0.772, -0.419]",0%,10%,26104.2,21743.65
24-02-2025,22609.35,22668.05,22518.8,22553.35,214317552,20772.95,-1.064007124,0.00692868,23196.1225,23396.74,23646.37071,2025-02,"(-1.125, -0.772]",0%,10%,26104.2,21743.65
25-02-2025,22516.45,22625.3,22513.9,22547.55,250279519,24917.83,-0.0257168,0.006535696,23165.345,23360.971,23630.89437,2025-02,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
27-02-2025,22568.95,22613.3,22508.4,22545.05,289230479,29775.64,-0.011087679,0.006434976,23130.1225,23327.895,23615.81319,2025-02,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
28-02-2025,22433.4,22450.35,22104.85,22124.7,551285287,52745.2,-1.864489101,0.006788778,23060.9375,23291.355,23595.38699,2025-02,"(-2.184, -1.831]",1%,10%,26104.2,21743.65
03-03-2025,22194.55,22261.55,22004.7,22119.3,282399735,25942.05,-0.024407111,0.006804349,22992.795,23261.991,23575.43986,2025-03,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
04-03-2025,21974.45,22105.05,21964.6,22082.65,253260641,22979.56,-0.165692404,0.006789944,22928.875,23228.575,23555.536,2025-03,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
05-03-2025,22073.05,22394.9,22067.8,22337.3,305942691,26371.61,1.153167758,0.006154982,22858.7775,23200.768,23539.50658,2025-03,"(0.994, 1.347]",-1%,10%,26104.2,21743.65
06-03-2025,22476.35,22556.45,22245.85,22544.7,372083680,30550.28,0.928491805,0.006741868,22801.1975,23176.658,23526.58701,2025-03,"(0.641, 0.994]",0%,10%,26104.2,21743.65
07-03-2025,22508.65,22633.8,22464.75,22552.5,289765795,21446.95,0.034597932,0.006760875,22748.655,23151.44,23514.09872,2025-03,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
10-03-2025,22521.85,22676.75,22429.05,22460.3,293855491,22330.86,-0.408823855,0.006772326,22693.6725,23127.748,23500.75949,2025-03,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
11-03-2025,22345.95,22522.1,22314.7,22497.9,347924102,29208.22,0.167406491,0.006713602,22649.4875,23104.81,23488.22375,2025-03,"(-0.0656, 0.288]",-1%,10%,26104.2,21743.65
12-03-2025,22536.35,22577.4,22329.55,22470.5,369736725,33406.41,-0.121789145,0.006159544,22619.4225,23079.362,23475.65926,2025-03,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
13-03-2025,22541.5,22558.05,22377.35,22397.2,287535243,22855.58,-0.326205469,0.006174899,22587.02,23043.533,23462.50732,2025-03,"(-0.419, -0.0656]",1%,10%,26104.2,21743.65
17-03-2025,22353.15,22577,22353.15,22508.75,251102239,24122.27,0.498053328,0.006337239,22560.8875,23013.613,23451.01627,2025-03,"(0.288, 0.641]",-1%,10%,26104.2,21743.65
18-03-2025,22662.25,22857.8,22599.2,22834.3,272578844,26387.47,1.446326429,0.007172095,22556.14,22997.978,23443.6744,2025-03,"(1.347, 1.7]",-1%,10%,26104.2,21743.65
19-03-2025,22874.95,22940.7,22807.95,22907.6,323992121,26994.95,0.321008308,0.007205324,22553.545,22981.972,23437.36765,2025-03,"(0.288, 0.641]",0%,10%,26104.2,21743.65
